id,opening_hours
way/1285226741,Mo Off; Tu Off; We Off; Th 15:00-23:00; Fr 15:00-24:30; Sa 12:00-24:30; Su 12:00-22:00
way/436146455,Mo-We 16:00-23:00; Th 12:00-23:00; Fr-Sa 12:00-01:00; Su 12:00-22:00
node/331933100,
way/879875254,Mo-Th 16:00-23:00; Fr 16:00-01:00; Sa 12:00-01:00; Su 12:00-23:00
way/875103908,
way/224178092,
way/458783542,
way/976351907,Mo-Su 09:00-23:00
7bf5b7a8-3672-4d2e-985f-09e46cc34c3f,
08b8fb79-3bce-4053-afe2-bd2f39166df3,
way/366327540,Mo 12:00-23:00; Tu-We 12:00-23:00; Th 12:00-00:00; Fr-Sa 12:00-01:00; Su 12:00-22:30
way/142371465,"Mo-Th 12:00-23:00, Fr,Sa 12:00-01:00, Su 12:00-22:30"
a888527e-8e3f-4d4a-9b38-2f942ed9377f,
fb8739dc-635a-4fc9-97e2-f7103a09cf9c,
ea691433-979e-4d94-ba90-36c8db8d759b,
a6d78559-f2c5-4df3-8564-217a75e30cff,
way/395000517,Mo-Th 16:00-24:00; Fr 16:00-01:00; Sa 13:00-01:00; Su 13:00-24:00
way/589699814,Mo-Sa 11:00-22:00; Su 12:00-22:00
way/372701658,Mo-We 16:00-23:00; Th-Fr 16:00-24:00; Sa 12:00-24:00; Su 12:00-23:00
way/970859357,"Mo-Th 16:00-23:00, Fr,Sa 12:00-24:00, Su 12:00-22:00"
way/333082445,Mo-Su 12:00-22:00
way/469649790,
way/373347592,
way/372808122,
way/237487429,Mo-Th 17:00-22:00; Fr-Su 12:00-22:00
way/587954387,"Tu,We,Su 15:00-24:00; Mo off, Th 15:00-01:30, Fr,Sa 15:00-03:00"
way/366327440,Mo off; Tu-Fr 12:00-23:00; Sa 11:00-23:00; Su 12:00-23:00
way/953306259,"Mo-Th 16:00-22:30; Fr,Sa 12:00-22:30; Su 12:00-22:00"
node/52755412,
way/262258278,
way/411359426,Mo-Th 11:00-01:00; Fr-Su 11:00-03:00
way/593373600,
way/142371498,"Mo,Tu 16:00-23:00; We 12:00-24:00; Th 12:00-01:00; Fr 12:00-03:00; Sa 12:00-03:00; Su 12:00-22:00"
way/459672112,
way/956665216,Mo-Sa 12:00-23:00; Su 12:00-22:00
way/466647109,Mo-Th 17:00-24:00; Fr-Sa 16:00-03:00; Su 16:00-24:00
way/863500628,
way/531572661,Mo-Th 12:00-01:00; Fr-Sa 12:00-02:00; Su 12:00-01:00
way/606507213,Mo-Fr 16:00-23:00; Sa 12:00-23:00; Su 12:00-22:30
node/2296112253,"Mo-Th,Su 12:00-23:00; Fr-Sa 12:00-01:00"
way/272507642,
e5997a64-880a-4cad-9a17-30c8972e15e3,
way/525700383,"Mo-We 16:00-24:00, Th,Su 12:00-24:00, Fr,Sa 12:00-01:30"
way/95243702,Mo-Th 12:00-00:00; Fr 12:00-01:00; Sa 12:00-02:00; Su 12:00-00:00
way/982884990,Mo-Th 16:00-22:00; Fr-Su 12:00-22:00
way/663004043,Mo-We 15:00-23:00; Th-Sa 12:00-23:00; Su 12:00-22:00
way/416439002,
way/480686698,
way/600916017,Mo 16:00-23:00; Tu-Sa 12:00-23:00; Su 12:00-10:30
way/475491527,
way/848656899,12:00-23:00
way/601823724,
way/387574439,
way/457300035,Mo-We 16:00-23:00; Th 16:00-24:00; Fr 16:00-01:00; Sa 12:00-01:00; Su 13:00-22:30
way/601291041,"Mo 11:00-23:45; Tu-Th 11:00-24:00; Fr-Sa 11:00-00:30, Su 11:00-23:45"
way/668568684,
way/95243769,Mo-Su 12:00-23:00
way/637516538,Mo-Th 16:00-23:00; Fr 16:00-01:00; Sa 12:00-02:00; Su 12:00-22:30
way/439335533,
way/146989400,
way/172306189,
way/430451203,Mo-Sa 12:00-23:00; Su 12:00-22:30
way/100835971,
way/146986827,
way/430448024,Mo-Fr 12:00-23:00
way/147191437,Mo-Fr 11:00-23:00; Sa 11:00-19:30; Su Off
way/170525606,Mo-Fr 11:00-23:00
way/97175520,
3ed679cd-1ddd-4fab-9604-085dfb83983f,
way/42935883,Mo-Fr 07:30-23:00; Sa 10:00-22:00
node/593553106,
node/475933772,Mo-Su 10:00-23:00
way/503225516,
way/186152883,Mo-Sa 12:00-23:00; Su 12:00-21:30
way/146989396,
way/569138325,Su-We 08:00-23:30; Th-Sa 08:00-24:00
way/568747636,
way/203530059,Mo-Fr 12:00-23:00
way/502991820,
way/147495191,
node/338472534,"Mo-Th 10:00-23:30, Fr,Sa 10:00-00:30, Su 10:00-22:30"
node/338463555,"Mo-Fr 11:30-23:00, Sa 12:00-20:00"
way/569138307,
way/257148829,Mo-Sa 12:00-23:00; Su 12:00-23:00
way/572670795,Mo-Fr 12:00-23:00
way/98515735,
way/420644092,
way/42527973,"Mo 12:00-23:00; Tu 12:00-23:30; We 12:00-24:00; Th,Fr 12:00-25:00; Sa 17:00-25:00"
way/99379732,
way/155363856,Mo-Fr 12:00-23:00
way/99379796,Mo-Th 12:00-22:30; Fr-Sa 12:00-23:30; Su 12:00-22:00
node/5192841322,Tu-We 16:00-26:00; Th-Fr 12:00-27:00; Sa 17:00-27:00
way/99379749,
way/203180588,Mo-Fr 12:00-23:00
way/70298958,
way/147734606,Mo-Tu 12:00-23:00; We 12:00-24:00; Th-Sa 12:00-01:00; Su 12:00-23:00
way/98526005,Mo-Sa 11:00-23:00; Su 12:00-22:00
way/155363890,Mo-Sa 12:00-23:00; Su 12:00-20:00
way/155341971,
way/99067531,
way/155343103,Mo 17:00-22:00; Tu-We 12:00-22:30; Th-Sa 12:00-23:30
node/452433527,
way/163272356,
way/99813922,Mo-Sa 12:00-23:00; Su 12:00-20:00
way/145481097,Mo-Th 12:00-23:00; Fr-Su 12:00-24:00
way/99057959,
way/155363891,Mo-Sa 12:00-23:00; Su 12:00-21:00
way/665469557,
node/988573532,
way/163997057,
88efd5f1-e9f9-4f0c-a28a-412e52e5ae7d,
way/146543172,
way/154856396,
way/100442829,
node/248444184,
way/155366810,
way/155354349,
node/294950903,
way/149390344,Mo-Su 10:00-01:00
way/164244210,"Mo-We,Su 12:00-23:00; Th-Sa 12:00-02:00"
way/160527361,"Sa-We 12:00-24:00, Th,Fr 12:00-01:00"
way/164475611,
way/149070189,
way/187581780,
way/672780137,
way/160279486,
way/203526627,Mo-Fr 11:00-23:00; Sa 16:00-23:00
node/291953084,
node/289075156,
way/667230136,Mo-Su 11:00-23:00
way/163995943,
way/629300448,Mo-Fr 09:00-23:00; Sa 11:00-20:00; Su off
node/4969009472,Th-Sa 11:00-02:00; Mo-We 11:00-00:00; Su 11:00-23:00
way/164245940,
way/164527293,
way/157021561,
way/159052524,Mo-Fr 11:00-00:00
way/161289706,
way/155367405,Mo-Fr 12:00-00:00; Sa 12:00-01:00; Su 13:00-22:00
way/164534150,
way/1183654746,"Mo-We,Fr 12:00-22:00; Th 12:00-23:00; Sa 13:00-23:00; Su 15:00-22:00"
way/157236295,Mo-We 13:00-24:00; Th 13:00-01:00; Fr-Sa 13:00-03:00; Su 13:00-24:00
node/301516360,
way/631252074,
d5feda4f-5add-449c-ab40-57d0ac23f4ed,
way/837365135,
node/366073245,Mo-Sa 07:00-23:30; Su 09:00-22:30
node/1150003215,
way/835395161,
ae5318d5-591b-4177-abae-b8f84c51eda3,
way/835331043,
way/160163216,
node/291754220,
node/302013654,
way/160138936,
way/89968893,
way/31235539,Mo-Su 11:00-23:00
way/163644470,
d336c8d3-78d5-4826-80b7-9f6794822330,
node/306135577,
way/958434661,Mo-Fr 12:00-00:00
c878f9cb-8a31-4a78-ad6a-4826c4c22504,
node/12250692107,
way/159751191,
node/6802993456,
way/160096670,"Mo-Fr 08:00-23:00; Sa,Su closed"
f5c2e112-0ddd-4886-b4d9-3983d4bd87fb,
way/625338336,Mo 16:00-23:00; Tu-Fr 12:00-23:00; Sa-Su off
node/4009487830,
a4245ce0-9970-41a5-9c82-9526c3ef3d04,
node/116097320,
way/156734417,
node/116097730,
node/366073061,
node/369119280,
way/156734415,
way/326328749,
way/231202433,
node/4564625488,
node/12599228001,Mo-Sa 11:00-23:30
node/288045288,Su-Fr 12:00-23:30; Sa 11:00-18:00
node/666918951,
node/25475187,Mo-Fr 11:00-23:00; Sa 12:00-22:00; Su 12:00-20:00
way/141393953,Mo-Fr 11:00-23:00; Th 11:00-24:00; Sa 12:00-22:00
node/12534156760,
node/25473538,
way/582966821,Mo-Th 08:00-23:00; Fr 08:00-01:00; Sa-Su 08:00-23:00
way/169291627,
way/474237299,
e4317f54-7d00-407f-b7c3-aef59457d197,
node/296614817,
node/5593327043,Mo-We 12:00-23:00; Th 12:00-01:00; Fr 12:00-00:00; Sa 11:00-00:00; Su 11:00-23:00
way/156725307,Mo 12:00+; Tu-Fr 12:00-23:00
node/1561417481,Mo-Sa 12:00-23:00; Su 12:00-18:00
node/9306966309,
node/592029659,
node/292705417,Mo-Fr 08:00-23:00; Sa 10:00-23:00; Su 10:00-18:00
node/591974938,"Mo-We, Fr-Sa 11:00-23:00; Th 11:00-00:00; Su 12:00-19:00"
way/142680573,Mo 11:30-22:00; Tu-Fr 11:30-23:00
node/739967562,
node/1547392947,Mo-Th 10:00-23:00; Fr 10:00-25:00; Sa 11:00-20:00
node/796482320,
node/277906484,
node/1497452179,
node/12877542100,
node/1497452168,Mo-Fr 11:00-23:00
node/692162535,
45dfe1c8-ab58-4f1c-a5ab-f3aa5e01fffd,
node/5641663540,
node/289830212,
node/1497452177,Tu-Fr 08:30-15:30; Mo 11:30-15:30
way/274708128,Mo 07:00-22:00; Tu-Fr 07:00-23:00; Sa 08:00-22:00; Su 08:00-18:00
way/863516669,Mo-Fr 08:00-23:00; Sa 08:30-23:00; Su 09:30-21:00
node/295975604,
node/259253467,
way/155428084,
node/25496840,
98eaa8a8-0498-4867-92ec-2e5eb96ff852,
59b60d2c-c608-4888-9020-642e25b3cac9,
way/996506223,
way/99275253,Mo-We 11:30-22:00; Th-Fr 11:30-23:00; Sa 11:30-22:00; Su 12:00-20:00
node/21686579,
way/60186067,Mo-Su 11:30-23:00
way/996071727,
node/316763478,
way/159922613,
node/666475908,
node/1144626359,
node/12431593816,
way/159925752,
way/815099779,Mo-Sa 11:00-23:00; Su 12:00-22:00
way/159922620,
32609020-2f6a-4e95-baed-b142ea93aacd,
way/1472842938,Mo-Sa 11:00-23:00; Su 12:00-19:00
c1ab2ddd-e4fa-46ee-a363-2d08dd4fcac7,
node/702773347,"Mo-We 11:00-00:00, 09:00-18:00; Th, Fr 11:00-01:00; Sa 11:00-22:00"
way/522314555,
way/523388241,Mo-Fr 11:00-23:00
c2b7164e-1ab3-4c8f-9d6d-8b15a93c0905,
way/529246698,
node/266560384,"Mo 11:00-22:00; Tu-We, Fr 11:00-23:00; Th 11:00-17:00; Sa 12:00-20:00"
way/155428083,
node/12534156761,
way/809354345,
node/5141625722,
2773b4fb-d9de-478f-8975-2a7f846e7829,
